Aachen 50 46 34 N 6 05 04 O
Augsburg 48 22 20 N 10 54 00 O
Bamberg 49 53 30 N 10 53 20 O
Bayreuth 49 56 40 N 11 34 40 O
Berlin 52 31 20 N 13 17 51 O
Bielefeld 52 01 21 N 8 31 59 O
Bochum 51 29 01 N 7 13 17 O
Bonn 50 44 05 N 7 06 02 O
Braunschweig 52 16 09 N 10 31 16 O
Bremen 53 04 37 N 8 48 35 O
Chemnitz 50 50 10 N 12 55 20 O
Clausthal-Zellerfeld 51 48 20 N 10 20 06 O
Cottbus 51 45 33 N 14 20 07 O
Darmstadt 49 52 19 N 8 39 15 O
Dortmund 51 30 58 N 7 28 06 O
Dresden 51 03 15 N 13 44 20 O
Düsseldorf 51 13 32 N 6 46 59 O
Duisburg 51 26 17 N 6 45 43 O
Eichstätt 48 53 30 N 11 11 30 O
Erfurt 50 58 38 N 11 01 30 O
Essen 51 27 25 N 7 00 38 O
Flensburg 54 47 05 N 9 26 12 O
Frankfurt/Main 50 06 44 N 8 40 55 O
Frankfurt/Oder 52 20 40 N 14 33 22 O
Freiburg 47 59 48 N 7 51 11 O
Gera 50 52 56 N 12 04 58 O
Giessen 50 35 19 N 8 40 31 O
Göttingen 51 31 48 N 9 56 39 O
Hagen 51 21 49 N 7 27 54 O
Halle 51 29 03 N 11 58 16 O
Hamburg 53 32 57 N 9 59 31 O
Hannover 52 22 15 N 9 44 25 O
Heidelberg 49 24 43 N 8 42 10 O
Heilbronn 49 08 34 N 9 13 12 O
Hildesheim 52 09 15 N 9 56 42 O
Ilmenau 50 41 49 N 10 54 59 O
Jena 50 55 49 N 11 35 21 O
Jülich 50 55 23 N 6 21 34 O
Kaiserslautern 49 26 40 N 7 46 20 O
Karlsruhe 49 00 20 N 8 24 20 O
